"location.name","location.lat","location.lon","current.temperature","current.wind_speed","current.wind_degree","current.pressure","current.precip","current.humidity","current.cloudcover","current.feelslike","current.uv_index","current.visibility"
"Mumbai",18.975,72.826,26,9,320,1004,0.3,94,100,28,6,3
"Itanagar",27.1,93.617,22,1,63,1007,1.3,98,100,25,5,9
"Dispur",26.143,91.789,28,0,0,1005,3.1,84,75,36,5,3
"Patna",25.6,85.117,28,11,70,1001,4.7,74,75,31,7,4
"Raipur",21.233,81.633,29,12,247,1000,2.1,74,60,34,6,10
"Panaji",15.483,73.833,27,13,272,1007,0.7,73,86,30,6,10
"Gandhinagar",23.217,72.683,28,9,190,1002,0,84,75,30,7,4
"Chandigarh",30.737,76.787,36,8,349,998,0,40,6,40,9,10
"Shimla",31.103,77.172,27,6,284,1003,0,67,11,29,7,10
"Ranchi",23.35,85.333,25,11,150,1006,6,94,50,82.9051669532169,5,4
"Bengaluru",12.983,77.583,22,13,300,1012,0.4,88,75,82.9051669532169,6,3
"Thiruvananthapuram",8.507,76.957,27,9,290,1008,0,84,25,82.9051669532169,6,5
"Bhopal",23.267,77.4,25,7,250,1005,0,89,75,82.9051669532169,5,3
"Mumbai",18.975,72.826,26,0,0,1005.77819548872,0,94,100,82.9051669532169,7,3
"Imphal",24.817,93.95,21,3,282,1005.77819548872,0.4,97,96,82.9051669532169,5,2
"Shillong",25.576,91.873,18,5,192,1005.77819548872,2.6,98,94,82.9051669532169,4,7
"Kohima",25.667,94.117,19,1,248,1005.77819548872,2.3,99,100,82.9051669532169,4,10
"Bhubaneshwar",20.233,85.833,28,7,190,1003,0,89,75,82.9051669532169,7,5
"Jaipur",26.917,75.817,33,0,325,1001,0,49,50,33,9,3
"Chennai",13.083,80.283,30,13,200,1004,0,70,50,34,7,5
"Gangtok",27.333,88.617,13,3,195,1010,4.2,100,100,14,3,7
"Chennai",13.083,80.283,30,13,200,1004,0,70,50,34,7,5
"Amaravati",20.933,77.75,23,16,264,1003,0.1,96,99,25,1,10
"Itanagar",27.1,93.617,22,3,224,1007,1,100,100,25,1,9
