location.name,location.country,location.region,location.lat,location.lon,location.timezone_id,location.localtime,current.observation_time,current.temperature,current.weather_descriptions,current.wind_speed,current.wind_degree,current.wind_dir,current.pressure,current.precip,current.humidity,current.cloudcover,current.feelslike,current.uv_index,current.visibility,current.is_day
Mumbai,India,Maharashtra,18.975,72.826,Asia/Kolkata,8/19/2021 17:43,12:13 PM,26,"Light Rain, Rain Shower",9,320,NW,1004,0.3,94,100,28,6,3,yes
Itanagar,India,Goa,27.1,93.617,Asia/Kolkata,8/19/2021 20:29,2:59 PM,22,Light rain,1,63,ENE,1007,1.3,98,100,25,5,9,no
Dispur,India,Assam,26.143,91.789,Asia/Kolkata,8/19/2021 20:29,2:59 PM,28,Mist,0,0,N,1005,3.1,84,75,36,5,3,no
Patna,India,Bihar,25.6,85.117,Asia/Kolkata,8/19/2021 20:29,2:59 PM,28,"Haze, Light Rain With Thunderstorm",11,70,ENE,1001,4.7,74,75,31,7,4,no
Raipur,India,Chhattisgarh,21.233,81.633,Asia/Kolkata,8/19/2021 20:29,2:59 PM,29,Light rain shower,12,247,WSW,1000,2.1,74,60,34,6,10,no
Panaji,India,Goa,15.483,73.833,Asia/Kolkata,8/19/2021 20:29,2:59 PM,27,Light rain shower,13,272,W,1007,0.7,73,86,30,6,10,no
Gandhinagar,India,Gujarat,23.217,72.683,Asia/Kolkata,8/19/2021 20:29,2:59 PM,28,Mist,9,190,S,1002,0,84,75,30,7,4,no
Chandigarh,India,Chandigarh,30.737,76.787,Asia/Kolkata,8/19/2021 20:29,2:59 PM,36,Partly cloudy,8,349,N,998,0,40,6,40,9,10,no
Shimla,India,Himachal Pradesh,31.103,77.172,Asia/Kolkata,8/19/2021 20:29,2:59 PM,27,Partly cloudy,6,284,WNW,1003,0,67,11,29,7,10,no
Ranchi,India,Jharkhand,23.35,85.333,Asia/Kolkata,8/19/2021 20:29,2:59 PM,25,Haze,11,150,SSE,1006,6,94,50,28,5,4,no
Bengaluru,India,Karnataka,12.983,77.583,Asia/Kolkata,8/19/2021 20:29,2:59 PM,22,Rain,13,300,WNW,1012,0.4,88,75,25,6,3,no
Thiruvananthapuram,India,Kerala,8.507,76.957,Asia/Kolkata,8/19/2021 20:29,2:59 PM,27,Haze,9,290,WNW,1008,0,84,25,30,6,5,no
Bhopal,India,Madhya Pradesh,23.267,77.4,Asia/Kolkata,8/19/2021 20:29,2:59 PM,25,Light Drizzle,7,250,WSW,1005,0,89,75,28,5,3,no
Mumbai,India,Maharashtra,18.975,72.826,Asia/Kolkata,8/19/2021 20:29,2:59 PM,26,"Light Drizzle, Rain Shower",0,0,N,1006,0,94,100,28,7,3,no
Imphal,India,Manipur,24.817,93.95,Asia/Kolkata,8/19/2021 20:29,2:59 PM,21,Light drizzle,3,282,WNW,1008,0.4,97,96,21,5,2,no
Shillong,India,Meghalaya,25.576,91.873,Asia/Kolkata,8/19/2021 20:29,2:59 PM,18,Moderate rain,5,192,SSW,1009,2.6,98,94,18,4,7,no
Kohima,India,Nagaland,25.667,94.117,Asia/Kolkata,8/19/2021 20:29,2:59 PM,19,Light rain shower,1,248,WSW,1009,2.3,99,100,19,4,10,no
Bhubaneshwar,India,Orissa,20.233,85.833,Asia/Kolkata,8/19/2021 20:29,2:59 PM,28,Haze,7,190,S,1003,0,89,75,32,7,5,no
Jaipur,India,Rajasthan,26.917,75.817,Asia/Kolkata,8/19/2021 20:29,2:59 PM,33,Haze,0,325,NW,1001,0,49,50,33,9,3,no
Chennai,India,Tamil Nadu,13.083,80.283,Asia/Kolkata,8/19/2021 20:29,2:59 PM,30,Haze,13,200,SSW,1004,0,70,50,34,7,5,no
Gangtok,India,Sikkim,27.333,88.617,Asia/Kolkata,8/19/2021 20:29,2:59 PM,13,Moderate or heavy rain shower,3,195,SSW,1010,4.2,100,100,14,3,7,no
Chennai,India,Tamil Nadu,13.083,80.283,Asia/Kolkata,8/19/2021 20:29,2:59 PM,30,Haze,13,200,SSW,1004,0,70,50,34,7,5,no
Amaravati,India,Maharashtra,20.933,77.75,Asia/Kolkata,8/20/2021 6:45,1:15 AM,23,Light rain shower,16,264,W,1003,0.1,96,99,25,1,10,yes
